date,price
2025-01-01,22.10
2025-01-02,22.40
2025-01-03,22.20
2025-01-04,22.80
2025-01-05,23.10
2025-01-06,22.95
2025-01-07,23.25
2025-01-08,23.60
2025-01-09,23.40
2025-01-10,23.75
2025-01-11,24.10
2025-01-12,24.05
2025-01-13,24.40
2025-01-14,24.70
2025-01-15,24.55
2025-01-16,24.85
2025-01-17,25.10
2025-01-18,24.95
2025-01-19,25.35
2025-01-20,25.60
2025-01-21,25.45
2025-01-22,25.90
2025-01-23,26.15
2025-01-24,26.05
2025-01-25,26.40
2025-01-26,26.75
2025-01-27,26.55
2025-01-28,26.95
2025-01-29,27.10
2025-01-30,27.35
2025-01-31,27.25
2025-02-01,27.55
2025-02-02,27.90
2025-02-03,28.20
2025-02-04,28.10
2025-02-05,28.45
2025-02-06,28.70
2025-02-07,28.55
2025-02-08,28.85
2025-02-09,29.10
2025-02-10,29.35
2025-02-11,29.20
2025-02-12,29.55
2025-02-13,29.80
2025-02-14,29.65
2025-02-15,29.95
2025-02-16,30.25
2025-02-17,30.05
2025-02-18,30.40
2025-02-19,30.65
2025-02-20,30.50
2025-02-21,30.80
2025-02-22,31.10
2025-02-23,30.95
2025-02-24,31.25
2025-02-25,31.45
2025-02-26,31.30
2025-02-27,31.60
2025-02-28,31.90
2025-03-01,31.75
2025-03-02,32.05
2025-03-03,32.35
2025-03-04,32.20
2025-03-05,32.55
2025-03-06,32.80
2025-03-07,32.60
2025-03-08,32.95
2025-03-09,33.20
2025-03-10,33.05
2025-03-11,33.40
2025-03-12,33.65
2025-03-13,33.50
2025-03-14,33.85
2025-03-15,34.10
2025-03-16,33.95
2025-03-17,34.25
2025-03-18,34.55
2025-03-19,34.40
2025-03-20,34.75
2025-03-21,35.00
2025-03-22,34.85
2025-03-23,35.20
2025-03-24,35.45
2025-03-25,35.30
2025-03-26,35.65
2025-03-27,35.90
2025-03-28,35.70
2025-03-29,36.05
2025-03-30,36.30
2025-03-31,36.10
